Artist,Title,Format,Cover Present,Label,Catogue Number,Year Released,Country,Notes,Sealed Status,discogs URL, Median Price ,discogs_release_id,,
"Ayers, Kevin",Animals,"7"" Vinyl",Yes,Island Records,16 822 AT,1976,Belgium,,No,https://www.discogs.com/release/2706902-Kevin-Ayers-Falling-In-Love-Again-Everyone-Knows-The-Song, $5.00 ,2706902,,2706902
"Ayers, Kevin",As Close As You Think,"7"" Vinyl",N/A,ABC Records,AB-12303,1977,Belgium,Stock Copy,No,https://www.discogs.com/release/7888682-Kevin-Ayers-Mr-Cool-Help-Me, $5.00 ,7888682,,7888682
"Ayers, Kevin",As Close As You Think,"7"" Vinyl",N/A,ABC Records,AB-12303,1977,Belgium,Promo ,No,https://www.discogs.com/release/6617865-Kevin-Ayers-Mr-Cool, $5.00 ,6617865,,6617865
"Ayers, Kevin",As Close As You Think,"7"" Vinyl",N/A,ABC Records,AB-12303,1977,Belgium,Promo,No,https://www.discogs.com/release/6617865-Kevin-Ayers-Mr-Cool, $5.00 ,6617865,,6617865
"Ayers, Kevin",Baby Come Home,"7"" Vinyl",N/A,Harvest,HAR 5109,1976,Belgium,Stock Copy - reissue,No,https://www.discogs.com/release/4111224-Kevin-Ayers-Caribbean-Moon, $5.03 ,4111224,,4111224
"Ayers, Kevin",Banana Follies,"7"" Vinyl",N/A,Harvest,HAR 5109,1976,Belgium,Stock Copy - reissue,No,https://www.discogs.com/release/4111224-Kevin-Ayers-Caribbean-Moon, $5.03 ,4111224,,4111224
"Ayers, Kevin",Banana Productions (The Best Of Kevin Ayers),"7"" Vinyl",Yes,Lo-Max Records,LOMAX030V,2008,Belgium,385/1000,No,https://www.discogs.com/release/1730243-Kevin-Ayers-Baby-Come-Home, $5.05 ,1730243,,1730243
"Ayers, Kevin",Bananamour,Cassette,Yes,Virgin,TCV 2510,1988,Belgium,Black cassette with white print,Yes,https://www.discogs.com/release/7040540-Kevin-Ayers-Falling-Up, $5.06 ,7040540,,7040540
"Ayers, Kevin",Bananamour,"7"" Vinyl",N/A,Harvest,HAR  5198,1980,Belgium,Version issed without sleeve,No,https://www.discogs.com/release/2078849-Kevin-Ayers-Money-Money-Money, $5.26 ,2078849,,2078849
"Ayers, Kevin",Bananamour,"7"" Vinyl",Yes,Charly Records,CYZ-7-107,1983,Belgium,,No,https://www.discogs.com/release/3441243-Kevin-Ayers-My-Speeding-Heart-Champagne-And-Valium, $5.76 ,3441243,,3441243
